new-namespace,classname,path,old-namespace,test
"DataPool\KeyGenerator",GenericSnippetKeyGenerator,src/GenericSnippetKeyGenerator.php,LizardsAndPumpkins,tests/Unit/Suites/GenericSnippetKeyGeneratorTest.php
"Http\Exception",HeaderNotPresentException,src/Http/Exception/HeaderNotPresentException.php,"LizardsAndPumpkins\Http\Exception"
"Context\BaseUrl",HttpBaseUrl,src/BaseUrl/HttpBaseUrl.php,"LizardsAndPumpkins\BaseUrl",tests/Unit/Suites/BaseUrl/HttpBaseUrlTest.php
Http,HttpGetRequest,src/Http/HttpGetRequest.php,"LizardsAndPumpkins\Http",tests/Unit/Suites/Http/HttpGetRequestTest.php
Http,HttpHeaders,src/Http/HttpHeaders.php,"LizardsAndPumpkins\Http",tests/Unit/Suites/Http/HttpHeadersTest.php
Http,HttpPostRequest,src/Http/HttpPostRequest.php,"LizardsAndPumpkins\Http",tests/Unit/Suites/Http/HttpPostRequestTest.php
Http,HttpPutRequest,src/Http/HttpPutRequest.php,"LizardsAndPumpkins\Http",tests/Unit/Suites/Http/HttpPutRequestTest.php
Http,HttpRequestBody,src/Http/HttpRequestBody.php,"LizardsAndPumpkins\Http",tests/Unit/Suites/Http/HttpRequestBodyTest.php
"Http\Routing\Exception",HttpResourceNotFoundResponse,src/Http/HttpResourceNotFoundResponse.php,"LizardsAndPumpkins\Http",tests/Unit/Suites/Http/HttpResourceNotFoundResponseTest.php
"Http\Routing",HttpRouterChain,src/Http/HttpRouterChain.php,"LizardsAndPumpkins\Http",tests/Unit/Suites/Http/HttpRouterChainTest.php
Http,HttpsUrl,src/Http/HttpsUrl.php,"LizardsAndPumpkins\Http",tests/Unit/Suites/Http/HttpsUrlTest.php
Http,HttpUrl,src/Http/HttpUrl.php,"LizardsAndPumpkins\Http",tests/Unit/Suites/Http/HttpUrlTest.php
"Import\Image",ImageFileDoesNotExistException,src/Image/Exception/ImageFileDoesNotExistException.php,"LizardsAndPumpkins\Image\Exception"
"Import\ImageStorage",ImageInStorage,src/Utils/ImageStorage/ImageInStorage.php,"LizardsAndPumpkins\Utils\ImageStorage",tests/Unit/Suites/Utils/ImageStorage/ImageInStorageTest.php
"Import\ImageStorage\ImageProcessing\ImageMagick",ImageMagickInscribeStrategy,src/Image/ImageMagickInscribeStrategy.php,"LizardsAndPumpkins\Image",tests/Unit/Suites/Image/ImageMagickInscribeStrategyTest.php
"Import\ImageStorage\ImageProcessing\ImageMagick",ImageMagickResizeStrategy,src/Image/ImageMagickResizeStrategy.php,"LizardsAndPumpkins\Image",tests/Unit/Suites/Image/ImageMagickResizeStrategyTest.php
"Import\ImageStorage\ImageProcessing",ImageProcessingStrategySequence,src/Image/ImageProcessingStrategySequence.php,"LizardsAndPumpkins\Image",tests/Unit/Suites/Image/ImageProcessingStrategySequenceTest.php
"Import\ImageStorage\ImageProcessing",ImageProcessor,src/Image/ImageProcessor.php,"LizardsAndPumpkins\Image",tests/Unit/Suites/Image/ImageProcessorTest.php
"Import\ImageStorage\ImageProcessing",ImageProcessorCollection,src/Image/ImageProcessorCollection.php,"LizardsAndPumpkins\Image",tests/Unit/Suites/Image/ImageProcessorCollectionTest.php
"Import\Image",ImageWasAddedDomainEvent,src/Image/ImageWasAddedDomainEvent.php,"LizardsAndPumpkins\Image",tests/Unit/Suites/Image/ImageWasAddedDomainEventTest.php
"Import\Image",ImageWasAddedDomainEventHandler,src/Image/ImageWasAddedDomainEventHandler.php,"LizardsAndPumpkins\Image",tests/Unit/Suites/Image/ImageWasAddedDomainEventHandlerTest.php
Logging,InMemoryLogger,src/Log/InMemoryLogger.php,"LizardsAndPumpkins\Log",tests/Unit/Suites/Log/InMemoryLoggerTest.php
"DataPool\SearchEngine\InMemory",InMemorySearchEngine,src/DataPool/SearchEngine/InMemorySearchEngine.php,"LizardsAndPumpkins\DataPool\SearchEngine",tests/Unit/Suites/DataPool/SearchEngine/InMemorySearchEngineTest.php
"DataPool\UrlKeyStore",InMemoryUrlKeyStore,src/DataPool/UrlKeyStore/InMemoryUrlKeyStore.php,"LizardsAndPumpkins\DataPool\UrlKeyStore",tests/Unit/Suites/DataPool/UrlKeyStore/InMemoryUrlKeyStoreTest.php
"Import\Product\View",IntegrationTestConfigurableProductView,src/Projection/Catalog/IntegrationTestConfigurableProductView.php,"LizardsAndPumpkins\Projection\Catalog"
"Import\Product\View",IntegrationTestProductView,src/Projection/Catalog/IntegrationTestProductView.php,"LizardsAndPumpkins\Projection\Catalog",tests/Unit/Suites/Projection/Catalog/IntegrationTestProductViewTest.php
